0.0055,2.62490070146637345282511839188386741593094605390102140978294221544697488525100243429e-16
0.00055,3.67641540856625149060602352980690835878177103865587710215481858770503634158417190441e-16
0.000055,3.94292177891890693621528425914910486993292218591585904334628074714476285429825931349e-16
5.500000000000001e-6,4.3449017472646915080734919664801931840384224499161620530631297224356095023988125216e-16
5.5e-7,4.06697883396368151396939034673337490946133280607614381675317551603596196072344622391e-16
5.4999999999999996e-8,3.18765495404752875982079166379408767706222062788672617816381024426791478121469193626e-16
5.5000000000000004e-9,2.41721241365716172805115773766953479158537988985945611880326579064531362394030009293e-16
5.500000000000001e-10,2.24739573057103211281752192090935877816851001740413457573633885791082208416752841162e-16
5.5000000000000004e-11,2.29493187403205399845728287563513532146435987910571267483339491301298048548628134481e-16
5.4999999999999996e-12,2.26327980385629849694610357323099772571957182001250675056959937901198083172989711282e-16
5.5e-13,2.2328977821879670152638611190162748048464139995191610795826135558548067568508845691e-16
5.5e-14,2.25451113051564446923247098859244865059731466964984872975126720905665424004099861737e-16
5.5e-15,2.30406397748749219857914479314400374616581169846576734835672169312592002556045085708e-16
