pointA_x_significand,pointA_x_exponent,pointA_y_significand,pointA_y_exponent,pointA_z_significand,pointA_z_exponent,pointB_x_significand,pointB_x_exponent,pointB_y_significand,pointB_y_exponent,pointB_z_significand,pointB_z_exponent,constZ_significand,constZ_exponent
5028374359902433,-53,-7472957160273724,-53,8159150365069532,-66,5167685395033531,-53,-7377307380930906,-53,5615892631173351,-65,5037566969799312,-65
-5300703205155017,-54,8608442037085160,-53,5742975395299110,-66,-5111527770989270,-55,8916089731414027,-53,7780614092428455,-68,7557062404265962,-66
-8936012687818296,-53,4520732597863981,-55,5350605669231267,-65,4637481526233500,-53,-7721619195490808,-53,5840370772082586,-66,6170620143969281,-65
-6092931580435137,-53,6633688417214630,-53,8800417158340606,-66,5726094741093422,-53,6952803401952086,-53,6190833262619345,-65,5958208288048205,-65
5664704282973761,-54,-8550287660471732,-53,6777147046375759,-66,-7784719747213282,-54,-8122756442884386,-53,7320384064505187,-66,7168621379206059,-66
-8760001647267418,-53,-8382847814680854,-55,8033685975654943,-66,7085486050069967,-53,5561072228866003,-53,5040253878815801,-65,9003061637051043,-66
-5916143834093489,-56,-8976789592936413,-53,6894995776319099,-67,5947300304520741,-53,6764558913006638,-53,7595475354459305,-67,7122049930148041,-67
6234226582471602,-55,8871332451264936,-53,6045243766629017,-67,7372440534060709,-53,-5174626410736289,-53,5767399560979789,-66,8515269142325948,-67
7364306609957867,-53,-5186195669210652,-53,8393495498939132,-66,8845625863116407,-53,-6793575100948566,-55,4877055520504658,-67,6141461660224611,-65
-5660442616698559,-53,7006356231198600,-53,6537482940338869,-67,-7017776337748243,-53,-5646277729728361,-53,4994300823135075,-65,5453013390530721,-66
-5987323351023839,-53,-6729160234392468,-53,6932771724844735,-68,-5165735763975284,-53,-7378672654297739,-53,6201230545521218,-65,8508806388346661,-66
8974471063497683,-53,6137133386561621,-56,8966797698216614,-66,-8313251724552499,-54,-7990750826881687,-53,8506880413211916,-66,4706906001658888,-65
-8990735275232693,-53,-8709581535252701,-57,5733233278288981,-65,-8586401028888364,-53,5441821654556464,-54,7734331980947754,-68,5828503355623085,-65
8933213281243706,-53,-4608406708866235,-55,6407445689447986,-66,-8942371846964653,-53,8629711362879895,-56,5453942040624637,-66,7064086643373770,-66
7802055682974956,-53,-9001680901848643,-54,7186995361584358,-66,7806705041389474,-53,8985542316027950,-54,5982219746855653,-65,8513780286724856,-66
4937685581625500,-53,-7533186542397800,-53,5585095557749479,-68,4892349005767130,-53,-7562708408325136,-53,8788852945181415,-66,6706625116156654,-67
7152950290458772,-53,-5474024117762754,-53,5878775492466331,-66,6995909380289474,-53,-5673349031328751,-53,8693196441804089,-66,7792738144129714,-66
-8849055713808703,-53,6721726803324815,-55,6791744979296772,-66,-8518795566553984,-55,8751800938998843,-53,4793719111082901,-65,7863787733660496,-66
8806922480156675,-53,7555399619751752,-55,7683613971758131,-66,-7772139606174251,-54,8125767506207271,-53,6259255121141466,-65,8753396091611870,-66
7377041547797589,-53,5168065043047958,-53,5850270442110973,-67,-4678574528452553,-56,8988193336661052,-53,6346649690749356,-65,8170859329686471,-66
7301284932889592,-53,5274549849774879,-53,6479483143739284,-66,-8839596281504914,-53,6918006145940786,-55,5371269717937670,-66,7411645928862087,-66
-7647091390559679,-53,4759372833893211,-53,5656387702360980,-65,8811673652666105,-53,7466239457523502,-55,5820336535613512,-67,4892241687196010,-64
-7895122818658839,-53,8671026149928970,-54,5614426440313118,-66,-5977599056849709,-53,6737799928598057,-53,7496654882486444,-68,5676619415412290,-66
6741416151195046,-56,-8967693885413817,-53,7924457803348875,-67,-5579027767716022,-70,-9007199130903985,-53,6115312137306076,-65,6768553844050788,-66
8457696115233911,-53,-6195809193987535,-54,5712251661915530,-65,-7396617960811842,-53,-5140007793817547,-53,8337738639409611,-66,6921714356916016,-65
8559860588442078,-53,5606576271984531,-54,7083345993910885,-66,8996921955576155,-53,-6882463295269830,-57,4695336890628301,-65,7700008265640236,-66
5926003098398122,-53,-6783223749989753,-53,4579389351162498,-65,8783932354052572,-53,-7972120748476882,-55,4995217094110783,-65,4809858732432169,-65
6207059677680273,-55,8872522969255679,-53,7499046334846524,-67,-8160204659696530,-53,-7626453463743862,-54,7646450327670388,-67,7565689012284218,-67
-7614327843007945,-54,-8163034910416702,-53,6266643550696916,-65,8447174213894883,-53,6252962861714658,-54,4552876155338674,-67,8768482400446039,-65
8908392469336762,-53,-5321924548910231,-55,5749524150239589,-65,-8687979067845627,-53,-4753380720338621,-54,8446747239985041,-66,7053793123205910,-65
-8665400748442108,-53,4915472554572556,-54,6729500493932716,-66,5861730371009887,-53,6838841524673505,-53,5896801034578173,-65,7890290428755376,-66
7431339105416505,-53,-5089679316249099,-53,5752890275109058,-65,-8146376983640159,-54,8033602727164282,-53,8772747591403903,-66,6463084184090300,-65
-6826853400501035,-54,8335355814354023,-53,5153868870565249,-68,6769022132020610,-53,-5942219889444222,-53,6218992418994534,-66,4640630004100718,-66
-8958301194857851,-53,7498170327064166,-56,6574566389473411,-66,4640937445292639,-55,8932160602032268,-53,5214827796451633,-65,4984096090487766,-65
8687226530647484,-53,-4758879388503746,-54,4923655807894013,-66,-8612285081372695,-55,-8746080370049338,-53,6755629824830897,-66,5205219778497094,-66
-5463859328298510,-53,-7160717718041811,-53,4876982722101302,-65,7002604427857415,-54,8298826483823640,-53,7556772119498474,-67,7289862713873486,-65
-8193757350484151,-54,-8021547360743457,-53,4973399405925861,-65,8187554755892320,-54,8023130616726701,-53,8994287291223125,-67,6892970306338115,-65
4846758228168929,-53,-7592007141207119,-53,6655936129932251,-66,4587040785653463,-53,7751689818710272,-53,7324616362724001,-67,7029639870270764,-66
8842817548967956,-53,6851819986670826,-55,4828525912838895,-65,7525294217313292,-53,4949705434009941,-53,4972905460768936,-65,4859921316949691,-65
-8269909751637162,-56,-8947682448196033,-53,4986003684404310,-65,4572351973419068,-54,8712234944216633,-53,7266075921902842,-68,6155969845543190,-65
-7735417986295565,-55,-8797149792512422,-53,6993426806393196,-66,-4638979142590072,-54,-8703424948211820,-53,6922624554777096,-66,7028696256202185,-66
6172158620929639,-54,8462018144385711,-53,5538262577855916,-65,8889645927581826,-53,-5801837131079750,-55,5125503784371344,-65,5894188522568718,-65
8967396638688184,-53,-6766668180761442,-56,5166653489630272,-65,9004285773934736,-53,7330348565955014,-58,5011011128924013,-65,5208595905286296,-65
-8106651321985470,-53,7851583843717147,-54,6045606572308260,-66,-7324459916156350,-53,5242320575512397,-53,4739940804439375,-66,6203144282447295,-66
-8209645125197867,-54,8017485141250534,-53,6011516419765033,-65,8972629860262587,-53,6307073053953164,-56,6166003758483863,-65,6093930112385987,-65
6675699344186126,-53,-6046873269279595,-53,4818062726372892,-66,-7934200964140600,-54,-8086516673934881,-53,8385302106217010,-67,5324911415790799,-66
7731013518879514,-59,-9006389170348684,-53,6296607860815332,-66,-6528412039362092,-53,6205600123070156,-53,5451636649684167,-65,6741379633046825,-66
-7545786200761513,-53,-4918409169336745,-53,8513187752905261,-67,-8981329182028783,-53,5457406548934735,-56,6810401890018629,-66,5427552018254624,-66
-8415995879336453,-53,6418925444226705,-54,7368080257814471,-66,-8230915835215980,-53,7316190557638252,-54,5585116001688906,-65,5255983434893866,-65
7712916292034390,-53,4651941521135278,-53,7191319807058401,-66,4852284226738268,-54,8674299491597531,-53,8937972221593533,-66,8671215285091770,-66
