pointA_x_significand,pointA_x_exponent,pointA_y_significand,pointA_y_exponent,pointA_z_significand,pointA_z_exponent,pointB_x_significand,pointB_x_exponent,pointB_y_significand,pointB_y_exponent,pointB_z_significand,pointB_z_exponent,constZ_significand,constZ_exponent
5028374390644115,-53,-7472957205960711,-53,8354969990857633,-76,5167685454902779,-53,-7377307466399314,-53,5750674076529295,-75,5158468594127147,-75
-5300703221210285,-54,8608442063159217,-53,5880806810723736,-76,-5111527772765375,-55,8916089734512105,-53,7967348831569544,-78,7738431910631705,-76
-8936012781794913,-53,4520732645406791,-55,5479020224499735,-75,4637481540760407,-53,-7721619219678775,-53,5980539676857247,-76,6318715052058337,-75
-6092931623770552,-53,6633688464396129,-53,4505813595752786,-75,5726094821710469,-53,6952803499839827,-53,6339413290672839,-75,6101205314234785,-75
5664704306867340,-54,-8550287696536629,-53,6939798585246076,-76,-7784719785524050,-54,-8122756482858727,-53,7496073294350065,-76,7340668303894317,-76
-8760001699188536,-53,-8382847864366556,-55,8226494455323657,-76,7085486116191759,-53,5561072280761957,-53,5161219987962224,-75,4609567570051500,-75
-5916143840550878,-56,-8976789602734453,-53,7060475677519561,-77,5947300312398087,-53,6764558921966463,-53,7777766766400276,-77,7292979131320826,-77
6234226587702308,-55,8871332458708255,-53,6190329618759406,-77,7372440556581389,-53,-5174626426543281,-53,5905817156456827,-76,8719635608105637,-77
7364306657604008,-53,-5186195702764688,-53,8594939409449732,-76,8845625867946930,-53,-6793575104658480,-55,4994104853905849,-77,6288856755242914,-75
-5660442622252761,-53,7006356238073454,-53,6694382533096581,-77,-7017776402049440,-53,-5646277781463042,-53,5114164058510026,-75,5583885722796676,-76
-5987323352675560,-53,-6729160236248839,-53,7099158246893822,-78,-5165735836947593,-53,-7378672758530476,-53,6350060108514504,-75,8713017779704048,-76
8974471129764140,-53,6137133431877504,-56,4591000432786712,-75,-8313251779801157,-54,-7990750879987051,-53,8711045562426448,-76,4819871758603268,-75
-8990735383791379,-53,-8709581640416594,-57,5870830900597044,-75,-8586401031836496,-53,5441821656424908,-54,7919955949396936,-78,5968387460257193,-75
8933213314924918,-53,-4608406726241475,-55,6561224394240744,-76,-8942371871392428,-53,8629711386453579,-56,5584836654684973,-76,7233624733237371,-76
7802055719984516,-53,-9001680944548704,-54,7359483261899112,-76,7806705144016711,-53,8985542434152226,-54,6125793047623490,-75,8718111036921013,-76
4937685582509545,-53,-7533186543746545,-53,5719137851476785,-78,4892349040472124,-53,-7562708461972934,-53,8999785437146447,-76,6867584130337169,-77
7152950313161033,-53,-5474024135136385,-53,6019866110654204,-76,6995909428842165,-53,-5673349070702669,-53,8901833177000753,-76,7979763875631085,-76
-8849055751294764,-53,6721726831799160,-55,6954746868620381,-76,-8518795638464682,-55,8751801012876436,-53,4908768383561210,-75,8052518655916053,-76
8806922527905798,-53,7555399660715403,-55,7868020721299864,-76,-7772139718029416,-54,8125767623151782,-53,6409477274796856,-75,8963477622490608,-76
7377041553594335,-53,5168065047108930,-53,5990676934290758,-77,-4678574597679113,-56,8988193469654916,-53,6498969315381355,-75,8366959988389636,-76
7301284961040355,-53,5274549870111382,-53,6634990747716296,-76,-8839596304925432,-53,6918006164270049,-55,5500180196025751,-76,7589525442768770,-76
-7647091480435891,-53,4759372889830087,-53,5792141029909308,-75,8811673659519484,-53,7466239463330454,-55,5960024614013396,-77,5009655509992898,-74
-7895122841513765,-53,8671026175029994,-54,5749172680428231,-76,-5977599058777908,-53,6737799930771475,-53,7676574600491531,-78,5812858287018598,-76
6741416160914467,-56,-8967693898342969,-53,8114644794529005,-77,-5579027844357862,-70,-9007199254640296,-53,6262079657276508,-75,6930999157060956,-76
8457696216610315,-53,-6195809268252305,-54,5849345725172156,-75,-7396618008033354,-53,-5140007826632401,-53,8537844384924553,-76,7087835536047871,-75
8559860627883607,-53,5606576297818123,-54,7253346308905234,-76,8996922028437571,-53,-6882463351007339,-57,4808024988982616,-75,7884808479116382,-76
5926003144048791,-53,-6783223802243980,-53,4689294707631648,-75,8783932434565915,-53,-7972120821549176,-55,5115102319997749,-75,4925295356039890,-75
6207059685694251,-55,8872522980711056,-53,7679023450187654,-77,-8160204670650485,-53,-7626453473981329,-54,7829965139038029,-77,7747265551973704,-77
