pointA_x_significand,pointA_x_exponent,pointA_y_significand,pointA_y_exponent,pointA_z_significand,pointA_z_exponent,pointB_x_significand,pointB_x_exponent,pointB_y_significand,pointB_y_exponent,pointB_z_significand,pointB_z_exponent,constZ_significand,constZ_exponent
6542455573483502,-57,-4861560290091938,-56,8977368384275989,-53,6574397519910002,-58,-4692753877337302,-57,9000078085489947,-53,8991529329511287,-53
-4830281524147086,-57,7844468349592783,-56,8948575541275441,-53,-6741830718564030,-58,5879921848598970,-55,8883941065873475,-53,8979449175190878,-53
-7082838362535009,-57,7711450914273419,-57,8983394916035159,-53,8861608320777702,-59,5380021049713269,-58,9004565524104143,-53,9001815192217610,-53
4530470566279094,-57,-6838278689218903,-56,8962075924603962,-53,-5769627982787251,-57,-6020163139078665,-56,8968462401790201,-53,8966678228593163,-53
-5817610180112211,-56,-5567138312152190,-58,8976109964455143,-53,6273951284067287,-57,4924135903244106,-57,8993395548746548,-53,8984296424484368,-53
-6851063255214955,-59,-5197689158227353,-55,8912333077424733,-53,6663607893686254,-56,7579299154568114,-56,8918421431140779,-53,8914306562511734,-53
7503446806308219,-58,5338719267623408,-55,8904677762749028,-53,6698762246197726,-56,-4701779807958023,-56,8948914659699331,-53,8924582154077050,-53
-6663483142350818,-56,8247895049438097,-56,8909148281226060,-53,-6353634493882739,-57,-5111930506060395,-57,8992767695087385,-53,8936328539878457,-53
-8032635976798654,-56,-4513944831723569,-55,8879638599437490,-53,-7901261745756920,-59,-5643031955335642,-58,9004626547523544,-53,8959013305400923,-53
-7950051470529188,-57,-7771505368485424,-56,8940864518153444,-53,6351402367058183,-58,-8821039221537598,-56,8937250744850486,-53,8944296052668428,-53
5054792099399774,-56,6913373085915074,-60,8984847693836994,-53,-5095778541960580,-57,-4898094987009354,-56,8980720482212059,-53,8988859116535550,-53
-5261875482753977,-57,-5097328765939760,-61,9001171496104538,-53,-5667812959239018,-55,7184203764020035,-57,8883708093717483,-53,9003519316122969,-53
7500717689159843,-56,-7738840802695677,-59,8957451783285143,-53,-8427103412380961,-56,8132458738972340,-59,8944488000457963,-53,8966379437345651,-53
5894815285817201,-56,-6801187832337145,-57,8966939253009357,-53,7452817493249079,-58,8578216623296907,-59,9003190016136539,-53,8977006762897866,-53
6802178257780858,-56,-5188876130670581,-55,8872648885309024,-53,5699434973140175,-57,-8810320920126361,-57,8983292243540453,-53,8901939519721510,-53
-7617034461053029,-56,-5250190561508353,-57,8950721443793756,-53,-7294811723618430,-56,7786979933119210,-56,8907901622272099,-53,8956992053960209,-53
6413505359982243,-56,-4908140221073977,-56,8950448633223804,-53,8294736111596348,-57,-6726635598859853,-57,8982434499243345,-53,8972200799671014,-53
-7063289470362495,-56,5365261976878528,-58,8962253895799647,-53,-8452333550015457,-59,8683521059031618,-57,8989863817871953,-53,8972841257979550,-53
6181815686922895,-56,5303338140603431,-58,8972461493485517,-53,-5552892024913407,-59,5805545431231570,-58,9004953971110535,-53,8979650866255498,-53
8956002941777987,-56,6274223268087179,-56,8902879618612070,-53,-5976181227861313,-62,5740538273386047,-58,9005405085181928,-53,8957938102775561,-53
6073765767329734,-56,8775545841616121,-57,8958370454439057,-53,-8408925394959834,-56,6580956382001861,-58,8943293594709900,-53,8971052206192669,-53
-7303763682731105,-56,8021550435693047,-57,8946774538165935,-53,-7929506966807786,-56,8937941632862278,-56,8882508247573677,-53,8947843156097365,-53
7434307762321860,-59,-4944702623842613,-55,8921211508009357,-53,-4682338203672232,-75,-7559516524145358,-58,9004100815223047,-53,8949344455189340,-53
6563128735558548,-56,8597495592030315,-58,8965735461659954,-53,4654912876163230,-56,-7121828369982945,-61,8988342374441118,-53,8971777442460808,-53
6429433349602094,-57,-7359477251671719,-57,8986467238020591,-53,7949161792124388,-57,-7214499736755967,-59,8992780350360989,-53,8989966232783811,-53
6986778990147101,-58,4993536415809074,-55,8917595223287594,-53,-4560356035677674,-55,-8524135002636719,-57,8918856648329134,-53,8918165524950016,-53
-6974881341126772,-56,7913041485097548,-58,8961492599167244,-53,6030091521024307,-58,7035267349640619,-58,9002543734822237,-53,8970902312691652,-53
-4741648793704548,-56,5789391909210949,-55,8870373257488097,-53,5821090955824868,-56,-5110073771562769,-56,8955008117552878,-53,8927914760017785,-53
-7360342129648658,-56,6160665705820529,-59,8959569948274976,-53,7517039810696811,-60,7233819420375786,-57,8995653548172643,-53,8991334254832142,-53
8682427933688540,-56,-4756250707867746,-57,8936631796565007,-53,-6907853145831478,-58,-7015169403601601,-56,8961812957087724,-53,8940501997493416,-53
7879341526133575,-57,-6171136904121528,-56,8960584629821223,-53,5206195675676308,-56,8798006361655734,-56,8916091027236289,-53,8966138902427164,-53
8640597871910619,-57,6695130920399037,-59,8990386782977134,-53,6882834733702571,-57,4527132561065906,-57,8992470611516820,-53,8990839912523798,-53
-6006062733459329,-58,-6830430317156166,-56,8964676802308177,-53,-7274629414922424,-58,-6824151304922800,-56,8963833846815412,-53,8965096712350085,-53
7449458681851115,-57,-5621254089386757,-60,8995050564616659,-53,8086996680376077,-57,6583587638953073,-62,8992997621211786,-53,8995603790648536,-53
-7122889811473489,-56,6898775381231693,-57,8952708235350720,-53,-7465139911558202,-56,5343009178208051,-56,8933802379828669,-53,8954989359096520,-53
-7628968452387706,-59,7450400142431653,-58,9003400561144495,-53,7136123773056975,-58,5016149630561608,-61,9004416902362999,-53,9003942744299920,-53
6747832480332350,-56,-6112211732008863,-56,8935012313833929,-53,-8553322960263302,-57,-8717524177711711,-56,8925045340685073,-53,8943089789029736,-53
