pointA_x_significand,pointA_x_exponent,pointA_y_significand,pointA_y_exponent,pointA_z_significand,pointA_z_exponent,pointB_x_significand,pointB_x_exponent,pointB_y_significand,pointB_y_exponent,pointB_z_significand,pointB_z_exponent,constZ_significand,constZ_exponent
6557433609862989,-73,-4872690151971504,-72,9007199254734026,-53,6538533210197073,-73,-4667154211671561,-72,9007199254734435,-53,9007199254734281,-53
-5683193347411748,-72,5750259835828565,-75,9007199254734365,-53,6183509908695997,-73,-5147913639806330,-72,9007199254733710,-53,9007199254734586,-53
-7896352818379405,-73,8597166000965107,-73,9007199254734112,-53,7161901144202373,-73,8696204462440692,-73,9007199254734584,-53,9007199254734523,-53
7486153039013392,-74,-5649788475831692,-72,9007199254733838,-53,-5117213073026411,-73,-5339418348800154,-72,9007199254733913,-53,9007199254733892,-53
-5718840272113487,-72,-5472620851909290,-74,9007199254734009,-53,4534058729207661,-72,7117148465148759,-73,9007199254734283,-53,9007199254734139,-53
-8067272540327241,-76,-6120389413629568,-72,9007199254733376,-53,8083445654677510,-73,4597123194669413,-72,9007199254733425,-53,9007199254733392,-53
8534470147239975,-75,6072294692050256,-72,9007199254733316,-53,4918518111368910,-72,-6904496171434227,-73,9007199254733700,-53,9007199254733489,-53
-7731378984417202,-73,4784855089196469,-72,9007199254733351,-53,-8989608753284471,-73,-7232750840122620,-73,9007199254734271,-53,9007199254733650,-53
-8293987911161234,-73,-4660811715369789,-72,9007199254733132,-53,-6459676407931341,-73,-4613460680588083,-72,9007199254734587,-53,9007199254734056,-53
-5501962369442037,-73,-5378396636780189,-72,9007199254733622,-53,8581385482350164,-75,-5959057034990294,-72,9007199254733588,-53,9007199254733654,-53
5805962727356265,-72,7940739335629080,-76,9007199254734135,-53,-5402340526715030,-73,-5192764331128003,-72,9007199254734073,-53,9007199254734195,-53
5923674044473619,-72,-6111731209867276,-75,9007199254733788,-53,-5983600500603865,-72,5774390297639242,-75,9007199254733656,-53,9007199254733878,-53
