pointA_x_significand,pointA_x_exponent,pointA_y_significand,pointA_y_exponent,pointA_z_significand,pointA_z_exponent,pointB_x_significand,pointB_x_exponent,pointB_y_significand,pointB_y_exponent,pointB_z_significand,pointB_z_exponent,constZ_significand,constZ_exponent
6960404402483723,-66,-5172129220600706,-65,9007199126155010,-53,7114067724089141,-66,-5077966276720742,-65,9007199127559552,-53,9007199127030831,-53
-6156706796657811,-65,6229361144279442,-68,9007199127317571,-53,6445850654731351,-66,-5366318320114697,-65,9007199125089959,-53,9007199128069158,-53
-8424352060978788,-66,4586012985022072,-65,9007199126448779,-53,7866554511508718,-66,4775908314679332,-65,9007199128083194,-53,9007199127870863,-53
7860543068380035,-67,-5932340069735617,-65,9007199125520764,-53,-5395958830405716,-66,-5630268112208779,-65,9007199125770259,-53,9007199125700558,-53
-6064264958511195,-65,-5803173595402108,-67,9007199126097495,-53,4887161859224096,-65,7671417289159969,-66,9007199127034191,-53,9007199126541115,-53
-8258049262767849,-69,-6265125794674789,-65,9007199123986271,-53,8296399970790452,-66,4718232096470624,-65,9007199124148107,-53,9007199124038728,-53
8708580012527354,-68,6196174252535923,-65,9007199123789812,-53,5124312148625032,-65,-7193384838745329,-66,9007199125056371,-53,9007199124359700,-53
5094801885763064,-65,-7175866208422802,-66,9007199126262404,-53,6184593023664736,-65,-4749861437194728,-67,9007199123519491,-53,9007199128053911,-53
-7903625096814420,-66,4891456083554562,-65,9007199123903633,-53,-4841255213512428,-65,-7790237300368967,-66,9007199126992205,-53,9007199124907565,-53
-8382728378650079,-66,-4710679476804890,-65,9007199123192688,-53,-7096463870242470,-66,-5068250322319482,-65,9007199128092654,-53,9007199126304455,-53
-5382484826923457,-65,-6082126401081177,-66,9007199128284239,-53,-6178077009406752,-65,7924413701761132,-68,9007199125205075,-53,9007199130204128,-53
-5707522243094325,-66,-5579339947343133,-65,9007199124797578,-53,8885624132515505,-68,-6170325421932307,-65,9007199124686437,-53,9007199124903114,-53
6202404951229641,-65,8482948183540345,-69,9007199126524944,-53,-5750141841775794,-66,-5527073183788415,-65,9007199126314349,-53,9007199126729630,-53
-6185922114097927,-65,-5992479076975631,-69,9007199127666511,-53,-6008699275367471,-65,7616292256185410,-67,9007199123285576,-53,9007199127754075,-53
6202094653439772,-65,-6398990757322659,-68,9007199125350831,-53,-6218971431244748,-65,6001531734989859,-68,9007199124912040,-53,9007199125653010,-53
5397001998271705,-65,-6090855900732819,-66,9007199127678565,-53,-5762757791500420,-65,-5003782609164091,-66,9007199124149562,-53,9007199130731514,-53
5409258984925648,-65,-6240973568544407,-66,9007199125709019,-53,5366474724098750,-65,6176829464624065,-66,9007199127893319,-53,9007199126315640,-53
6917256479920720,-66,-5276660751624683,-65,9007199123036440,-53,6764513986744106,-66,-5228372581910779,-65,9007199126443484,-53,9007199123938388,-53
-5917548188559177,-65,-8157572558113163,-67,9007199125116823,-53,-8599314271815403,-66,4589747495223689,-65,9007199123871643,-53,9007199125299169,-53
