pointA_x_significand,pointA_x_exponent,pointA_y_significand,pointA_y_exponent,pointA_z_significand,pointA_z_exponent,pointB_x_significand,pointB_x_exponent,pointB_y_significand,pointB_y_exponent,pointB_z_significand,pointB_z_exponent,constZ_significand,constZ_exponent
5028374390644146,-53,-7472957205960756,-53,6254432438282003,-79,5167685454902838,-53,-7377307466399399,-53,4525606513452550,-78,7998403280412384,-79
-5300703221210301,-54,8608442063159243,-53,8110352556325948,-80,-5111527772765377,-55,8916089734512108,-53,4786515271836379,-82,5706398589192282,-79
-8936012781795006,-53,4520732645406838,-55,8568272845519210,-79,4637481540760422,-53,-7721619219678799,-53,8287655429452191,-80,5030531825033922,-78
-6092931623770595,-53,6633688464396176,-53,6838127727746841,-79,5726094821710549,-53,6952803499839924,-53,5048930259357929,-78,4837189835857435,-78
-8760001699188587,-53,-8382847864366606,-55,6140231962251802,-79,7085486116191824,-53,5561072280762008,-53,8003294647230296,-79,7022579237611224,-79
7364306657604055,-53,-5186195702764722,-53,6467738588141648,-79,8845625867946935,-53,-6793575104658484,-55,8379156829600210,-82,5003991116753539,-78
-5660442622252767,-53,7006356238073461,-53,7212294288916963,-81,-7017776402049504,-53,-5646277781463093,-53,7919639661537500,-79,7582492844455628,-80
-5987323352675562,-53,-6729160236248841,-53,6486130687047970,-83,-5165735836947665,-53,-7378672758530579,-53,5058394097439409,-78,6572697139478835,-79
8974471129764206,-53,6137133431877549,-56,6989570993584934,-79,-8313251779801212,-54,-7990750879987103,-53,6570944057454285,-79,7396453350592148,-79
-8990735383791486,-53,-8709581640416698,-57,4632412579290550,-78,-8586401031836499,-53,5441821656424910,-54,4702261259085076,-82,4719129521210683,-78
8933213314924951,-53,-4608406726241492,-55,4659991907955872,-79,-8942371871392452,-53,8629711386453602,-56,7584183390034814,-80,5257681098175098,-79
7802055719984553,-53,-9001680944548746,-54,5369555345874425,-79,7806705144016812,-53,8985542434152343,-54,4859045598869616,-78,6577224479227235,-79
4937685582509546,-53,-7533186543746547,-53,6317566013371797,-85,4892349040472158,-53,-7562708461972987,-53,6827601723872064,-79,7520208239566913,-81
7152950313161055,-53,-5474024135136402,-53,8357569089535670,-80,6995909428842214,-53,-5673349070702708,-53,6740533048187002,-79,5920915891413959,-79
-8849055751294802,-53,6721726831799188,-55,5009789662959995,-79,-8518795638464753,-55,8751801012876509,-53,7554491794961823,-79,5985586807222821,-79
8806922527905845,-53,7555399660715444,-55,5821588643119539,-79,-7772139718029526,-54,8125767623151897,-53,5111209356357056,-78,6795328110844654,-79
7377041553594341,-53,5168065047108934,-53,5961262113262167,-81,-4678574597679182,-56,8988193469655048,-53,5190757836876612,-78,6265090213866021,-79
7301284961040383,-53,5274549870111402,-53,4725561999934141,-79,-8839596304925455,-53,6918006164270067,-55,7433683019085085,-80,5574037284425232,-79
