pointA_x_significand,pointA_x_exponent,pointA_y_significand,pointA_y_exponent,pointA_z_significand,pointA_z_exponent,pointB_x_significand,pointB_x_exponent,pointB_y_significand,pointB_y_exponent,pointB_z_significand,pointB_z_exponent,constZ_significand,constZ_exponent
8766028832347978,-73,-6513850525155789,-72,9007199254728544,-53,8808317542135434,-73,-6287308635277059,-72,9007199254729092,-53,9007199254728885,-53
-7645660101543980,-72,7735885357538948,-75,9007199254728998,-53,8220414637656187,-73,-6843683484446471,-72,9007199254728122,-53,9007199254729294,-53
-5286264887667510,-72,5755428842866468,-72,9007199254728659,-53,4838476830513581,-72,5875029961700788,-72,9007199254729294,-53,9007199254729211,-53
4987120607812381,-73,-7527544892754289,-72,9007199254728293,-53,-6826840637620912,-73,-7123283249038066,-72,9007199254728392,-53,9007199254728364,-53
-7642652661440152,-72,-7313605264138669,-74,9007199254728521,-53,6090125319468141,-72,4779859355459960,-72,9007199254728888,-53,9007199254728695,-53
-5332899810094639,-75,-8091811297682122,-72,9007199254727679,-53,5347828741119198,-72,6082709922764885,-72,9007199254727744,-53,9007199254727700,-53
5636353797466954,-74,8020556790615608,-72,9007199254727600,-53,6537603697121579,-72,-4588664580983646,-72,9007199254728108,-53,9007199254727829,-53
-5108797658131712,-72,6323543710237405,-72,9007199254727646,-53,-6036001016939480,-72,-4856372799350072,-72,9007199254728872,-53,9007199254728044,-53
-5461889459065249,-72,-6138624423266583,-72,9007199254727357,-53,-8728604416022923,-73,-6233914940427350,-72,9007199254729297,-53,9007199254728589,-53
-6604566663101326,-72,-7463060382152459,-73,9007199254729371,-53,-7868370009031265,-72,5046248129891883,-74,9007199254728168,-53,9007199254730121,-53
-7303523254427772,-73,-7139497195842109,-72,9007199254728005,-53,5692452625597779,-74,-7905867865902552,-72,9007199254727961,-53,9007199254728047,-53
7776875444039226,-72,5318165448754938,-75,9007199254728689,-53,-7228040717053470,-73,-6947639052712383,-72,9007199254728606,-53,9007199254728769,-53
7885525998605309,-72,-8135865510165568,-75,9007199254728226,-53,-7947463795030371,-72,7669589208743319,-75,9007199254728051,-53,9007199254728346,-53
6672515012376658,-72,-7530352489933737,-73,9007199254729138,-53,-7429181735621369,-72,-6450732741856724,-73,9007199254727745,-53,9007199254730343,-53
6848616486057997,-72,-7901643199132744,-73,9007199254728368,-53,6617137986796821,-72,7616346855186950,-73,9007199254729221,-53,9007199254728605,-53
4514872706779231,-72,-6888121520315960,-72,9007199254727294,-53,8489978796372466,-73,-6562004668323979,-72,9007199254728657,-53,9007199254727655,-53
-7544311373249911,-72,-5200064745334102,-73,9007199254728133,-53,-5560493238798865,-72,5935650008427370,-72,9007199254727633,-53,9007199254728206,-53
-4509093624856951,-73,-7536497366183274,-72,9007199254728495,-53,-7354819813369573,-72,6554167461701967,-73,9007199254727899,-53,9007199254728946,-53
